test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
AT1G29210	AT1G29210	AT1G29210	1:10207305-10207378	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G29220	AT1G29220	AT1G29220	1:10207821-10212722	GL_12h_control	HL_12h_treatment	OK	16.1131	19.3992	0.267763	1.08226	0.11785	0.25869	no
AT1G29230	AT1G29230	CIPK18	1:10214859-10216422	GL_12h_control	HL_12h_treatment	OK	0.558292	3.36065	2.58965	5.5635	5e-05	0.000354903	yes
AT1G29240	AT1G29240	AT1G29240	1:10216778-10219846	GL_12h_control	HL_12h_treatment	OK	2.59498	3.01262	0.215298	0.726764	0.30505	0.503538	no
AT1G29250	AT1G29250	AT1G29250	1:10223265-10224727	GL_12h_control	HL_12h_treatment	OK	79.168	89.6245	0.178976	0.790503	0.2579	0.450058	no
AT1G29260	AT1G29260	PEX7	1:10224814-10226205	GL_12h_control	HL_12h_treatment	OK	16.4693	19.1058	0.214232	0.902449	0.203	0.383543	no
AT1G29265	AT1G29265	MIR399A	1:10227072-10227195	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G29270	AT1G29270	AT1G29270	1:10230086-10231142	GL_12h_control	HL_12h_treatment	OK	3.33134	1.68576	-0.982699	-1.87571	0.0118	0.0425009	yes
AT1G29280	AT1G29280	WRKY65	1:10236366-10237467	GL_12h_control	HL_12h_treatment	OK	28.9593	19.7374	-0.553094	-2.29675	0.00175	0.00846016	yes
AT1G29290	AT1G29290	AT1G29290	1:10244965-10245572	GL_12h_control	HL_12h_treatment	OK	1.3174	3.40545	1.37015	2.4027	0.003	0.0134343	yes
AT1G29300	AT1G29300	UNE1	1:10247779-10249594	GL_12h_control	HL_12h_treatment	OK	4.90897	5.76412	0.231679	0.853706	0.22155	0.408013	no
AT1G29310	AT1G29310	AT1G29310	1:10252293-10254690	GL_12h_control	HL_12h_treatment	OK	28.4619	25.9941	-0.130848	-0.576527	0.40585	0.60364	no
AT1G29320	AT1G29320	AT1G29320	1:10255320-10261112	GL_12h_control	HL_12h_treatment	OK	12.0523	18.7169	0.635034	2.07256	0.00265	0.0121057	yes
AT1G29330	AT1G29330	ERD2A	1:10255320-10261112	GL_12h_control	HL_12h_treatment	OK	11.2771	23.046	1.03112	2.97638	5e-05	0.000354903	yes
AT1G29340	AT1G29340	PUB17	1:10264394-10266818	GL_12h_control	HL_12h_treatment	OK	22.7966	23.8249	0.0636518	0.282527	0.686	0.824614	no
AT1G29350	AT1G29350	AT1G29350	1:10268468-10273788	GL_12h_control	HL_12h_treatment	OK	5.22422	5.76948	0.143225	0.582238	0.40295	0.600735	no
AT1G29355	AT1G29355	AT1G29355	1:10274047-10275718	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G29357	AT1G29357	AT1G29357	1:10274047-10275718	GL_12h_control	HL_12h_treatment	OK	9.57676	14.8977	0.637483	2.56998	5e-05	0.000354903	yes
AT1G29360	AT1G29360	AT1G29360	1:10275978-10277747	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G29370	AT1G29370	AT1G29370	1:10277889-10283198	GL_12h_control	HL_12h_treatment	OK	5.57558	5.93161	0.089302	0.36376	0.60645	0.767572	no
AT1G29380	AT1G29380	AT1G29380	1:10284120-10285970	GL_12h_control	HL_12h_treatment	OK	2.8661	3.42528	0.257134	0.752022	0.2882	0.484738	no
AT1G29390	AT1G29390	COR413IM2	1:10286292-10288103	GL_12h_control	HL_12h_treatment	OK	67.3531	90.9978	0.434087	1.92026	0.00625	0.0249803	yes
AT1G29395	AT1G29395	COR413IM1	1:10288196-10289621	GL_12h_control	HL_12h_treatment	OK	28.2977	36.0321	0.348597	1.46681	0.03555	0.103516	no
AT1G29400	AT1G29400	ML5	1:10290039-10294630	GL_12h_control	HL_12h_treatment	OK	33.3906	43.0358	0.366094	1.64469	0.01945	0.0638108	no
AT1G29410	AT1G29410	PAI3	1:10297876-10300005	GL_12h_control	HL_12h_treatment	OK	3.67129	4.54705	0.308642	0.908358	0.19325	0.36995	no
AT1G29418	AT1G29418	AT1G29418	1:10300877-10301951	GL_12h_control	HL_12h_treatment	OK	71.4016	55.4783	-0.364035	-1.37702	0.0466	0.127808	no
AT1G29420	AT1G29420	SAUR61	1:10300877-10301951	GL_12h_control	HL_12h_treatment	OK	4.93007	2.90382	-0.763659	-1.1488	0.1064	0.239603	no
AT1G29430	AT1G29430	SAUR62	1:10302649-10303335	GL_12h_control	HL_12h_treatment	OK	12.5509	0.544205	-4.5275	-6.63414	5e-05	0.000354903	yes
AT1G29440	AT1G29440	SAUR63	1:10304506-10305108	GL_12h_control	HL_12h_treatment	OK	9.57169	0.647262	-3.88635	-5.78654	5e-05	0.000354903	yes
AT1G29450	AT1G29450	SAUR64	1:10305950-10306499	GL_12h_control	HL_12h_treatment	OK	6.92511	0.213352	-5.02053	-3.8697	0.02395	0.0753978	no
AT1G29460	AT1G29460	SAUR65	1:10307506-10308143	GL_12h_control	HL_12h_treatment	OK	3.2403	0.0438546	-6.20726	-2.67474	0.24605	0.437087	no
AT1G29465	AT1G29465	AT1G29465	1:10308573-10309798	GL_12h_control	HL_12h_treatment	OK	8.69179	4.89902	-0.82716	-1.91298	0.0085	0.0323204	yes
AT1G29470	AT1G29470	AT1G29470	1:10310244-10314048	GL_12h_control	HL_12h_treatment	OK	107.97	77.3117	-0.481866	-2.07114	0.0028	0.0126862	yes
AT1G29475	AT1G29475	AT1G29475	1:10315833-10317528	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G29480	AT1G29480	AT1G29480	1:10317935-10318711	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G29500	AT1G29500	SAUR66	1:10321209-10321864	GL_12h_control	HL_12h_treatment	OK	8.36496	1.19751	-2.80432	-5.34034	5e-05	0.000354903	yes
AT1G29510	AT1G29510	SAUR67	1:10322573-10323189	GL_12h_control	HL_12h_treatment	OK	6.58346	0.714585	-3.20367	-4.85049	0.0001	0.000672203	yes
AT1G29520	AT1G29520	AT1G29520	1:10323654-10324743	GL_12h_control	HL_12h_treatment	OK	21.6835	17.3839	-0.318844	-1.2332	0.0834	0.199559	no
AT1G29530	AT1G29530	AT1G29530	1:10324744-10326735	GL_12h_control	HL_12h_treatment	OK	20.6272	16.6094	-0.31255	-1.28865	0.06975	0.174444	no
AT1G29540	AT1G29540	AT1G29540	1:10327370-10328105	GL_12h_control	HL_12h_treatment	OK	0.608682	0.590165	-0.0445707	-0.0526326	0.9416	0.973004	no
AT1G29550	AT1G29550	EIF4E3	1:10330513-10332326	GL_12h_control	HL_12h_treatment	OK	6.91944	6.88634	-0.00691758	-0.0226286	0.9709	0.985613	no
AT1G29560	AT1G29560	AT1G29560	1:10332370-10335694	GL_12h_control	HL_12h_treatment	OK	1.62317	1.77899	0.132249	0.381569	0.59	0.755119	no
AT1G29570	AT1G29570	AT1G29570	1:10335909-10337854	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G29580	AT1G29580	AT1G29580	1:10338442-10339146	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G29590	AT1G29590	eIF4E3	1:10339936-10342848	GL_12h_control	HL_12h_treatment	OK	2.08868	2.47025	0.242062	0.529744	0.44475	0.638558	no
AT1G29600	AT1G29600	AT1G29600	1:10344045-10346243	GL_12h_control	HL_12h_treatment	OK	2.9262	1.53472	-0.93105	-2.26548	0.0018	0.00867273	yes
AT1G29620	AT1G29620	AT1G29620	1:10347362-10349017	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G29630	AT1G29630	EXO1	1:10349426-10353736	GL_12h_control	HL_12h_treatment	OK	3.88745	3.68213	-0.0782826	-0.29076	0.67705	0.8186	no
AT1G29640	AT1G29640	AT1G29640	1:10355702-10356482	GL_12h_control	HL_12h_treatment	OK	4.44413	19.3862	2.12506	6.62572	5e-05	0.000354903	yes
AT1G29660	AT1G29660	AT1G29660	1:10371838-10373766	GL_12h_control	HL_12h_treatment	OK	140.614	42.2134	-1.73597	-7.64929	5e-05	0.000354903	yes
AT1G29670	AT1G29670	AT1G29670	1:10375762-10378961	GL_12h_control	HL_12h_treatment	OK	119.103	52.6795	-1.17689	-5.18974	5e-05	0.000354903	yes
AT1G29680	AT1G29680	AT1G29680	1:10375762-10378961	GL_12h_control	HL_12h_treatment	NOTEST	0.233397	0.111411	-1.0669	0	1	1	no
AT1G29690	AT1G29690	CAD1	1:10379019-10382123	GL_12h_control	HL_12h_treatment	OK	9.36842	12.0343	0.361277	1.52551	0.03075	0.0921645	no
AT1G29700	AT1G29700	AT1G29700	1:10384980-10387441	GL_12h_control	HL_12h_treatment	OK	49.7945	57.919	0.218048	0.969357	0.16975	0.337233	no
AT1G29710	AT1G29710	PCMP-H67	1:10387672-10389100	GL_12h_control	HL_12h_treatment	OK	4.05914	4.08053	0.00758242	0.0246006	0.9727	0.986524	no
AT1G29715	AT1G29715	AT1G29715	1:10389293-10392668	GL_12h_control	HL_12h_treatment	NOTEST	0.0900248	0.0523364	-0.782508	0	1	1	no
AT1G29720	AT1G29720	RFK1	1:10393796-10399873	GL_12h_control	HL_12h_treatment	OK	7.19377	1.41806	-2.34283	-8.26879	5e-05	0.000354903	yes
AT1G29730	AT1G29730	AT1G29730	1:10400563-10405874	GL_12h_control	HL_12h_treatment	OK	0.870942	0.713702	-0.287255	-0.735329	0.2968	0.493964	no
AT1G29740	AT1G29740	AT1G29740	1:10407378-10412997	GL_12h_control	HL_12h_treatment	NOTEST	0.137408	0.0853017	-0.687822	0	1	1	no
AT1G29750	AT1G29750	RKF1	1:10413880-10420524	GL_12h_control	HL_12h_treatment	OK	6.65347	6.545	-0.0237131	-0.100308	0.88775	0.944636	no
AT1G29760	AT1G29760	AT1G29760	1:10422330-10424327	GL_12h_control	HL_12h_treatment	OK	7.87164	8.13357	0.0472236	0.18783	0.7893	0.891133	no
AT1G29770	AT1G29770	AT1G29770	1:10424575-10425801	GL_12h_control	HL_12h_treatment	OK	1.27931	1.2961	0.0188109	0.0399615	0.96555	0.983096	no
AT1G29780	AT1G29780	AT1G29780	1:10426949-10429133	GL_12h_control	HL_12h_treatment	OK	1.1082	0.801633	-0.467209	-0.391065	0.5862	0.752674	no
AT1G29785	AT1G29785	AT1G29785	1:10426949-10429133	GL_12h_control	HL_12h_treatment	OK	17.5277	12.4943	-0.488367	-1.62995	0.0203	0.066047	no
AT1G29790	AT1G29790	AT1G29790	1:10429975-10432034	GL_12h_control	HL_12h_treatment	OK	18.8975	15.4834	-0.287475	-1.22223	0.08	0.193397	no
AT1G29800	AT1G29800	AT1G29800	1:10432600-10437506	GL_12h_control	HL_12h_treatment	OK	7.40356	6.40295	-0.209481	-0.65568	0.34765	0.549103	no
AT1G29810	AT1G29810	AT1G29810	1:10432600-10437506	GL_12h_control	HL_12h_treatment	OK	12.2229	14.6162	0.257979	0.71081	0.31035	0.509169	no
AT1G29820	AT1G29820	AT1G29820	1:10437656-10440786	GL_12h_control	HL_12h_treatment	OK	8.86231	9.33395	0.0748044	0.304459	0.6604	0.807034	no
AT1G29830	AT1G29830	AT1G29830	1:10441052-10447553	GL_12h_control	HL_12h_treatment	OK	0.539366	0.488734	-0.142217	-0.186467	0.79125	0.892494	no
AT1G29840	AT1G29840	AT1G29840	1:10441052-10447553	GL_12h_control	HL_12h_treatment	OK	8.25813	6.74804	-0.291347	-0.947748	0.1761	0.346592	no
AT1G29850	AT1G29850	AT1G29850	1:10447753-10449946	GL_12h_control	HL_12h_treatment	OK	76.7809	91.6875	0.255978	1.1393	0.10635	0.239515	no
AT1G29860	AT1G29860	WRKY71	1:10454481-10455785	GL_12h_control	HL_12h_treatment	OK	0.316296	0.636222	1.00826	1.23234	0.08075	0.194904	no
AT1G29880	AT1G29880	GLYRS-1	1:10459477-10462801	GL_12h_control	HL_12h_treatment	OK	74.4686	83.7269	0.169059	0.741718	0.2906	0.487368	no
AT1G29890	AT1G29890	AT1G29890	1:10463402-10467170	GL_12h_control	HL_12h_treatment	OK	21.3506	18.8822	-0.177253	-0.773488	0.26715	0.460831	no
AT1G29900	AT1G29900	CARB	1:10468053-10472211	GL_12h_control	HL_12h_treatment	OK	53.1759	51.8373	-0.0367819	-0.160249	0.81695	0.907297	no
AT1G29910	AT1G29910	LHCB1.2	1:10472279-10473299	GL_12h_control	HL_12h_treatment	OK	4250.58	347.228	-3.6137	-9.84362	5e-05	0.000354903	yes
AT1G29920	AT1G29920	LHCB1.2	1:10474783-10475959	GL_12h_control	HL_12h_treatment	OK	3138.02	437.119	-2.84376	-8.03539	5e-05	0.000354903	yes
AT1G29930	AT1G29930	LHCB1.3	1:10478004-10479048	GL_12h_control	HL_12h_treatment	OK	11354.3	2017.86	-2.49234	-2.44095	0.00325	0.0143807	yes
AT1G29940	AT1G29940	NRPA2	1:10479120-10486819	GL_12h_control	HL_12h_treatment	OK	13.0084	19.9441	0.616523	2.7384	0.0001	0.000672203	yes
AT1G29950	AT1G29950	BHLH144	1:10491697-10494598	GL_12h_control	HL_12h_treatment	OK	23.0114	22.8896	-0.00765555	-0.0303838	0.96565	0.983105	no
AT1G29951	AT1G29951	CPuORF35	1:10491697-10494598	GL_12h_control	HL_12h_treatment	OK	3.53852	3.75331	0.0850203	0.101132	0.88635	0.944091	no
AT1G29952	AT1G29952	CPuORF34	1:10491697-10494598	GL_12h_control	HL_12h_treatment	OK	0.873034	0.955531	0.130265	0.0552634	0.92185	0.963712	no
AT1G29960	AT1G29960	AT1G29960	1:10494706-10496170	GL_12h_control	HL_12h_treatment	OK	5.26618	4.4653	-0.237998	-0.696397	0.32955	0.529988	no
AT1G29962	AT1G29962	AGL64	1:10496729-10497287	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G29965	AT1G29965	RPL18AA	1:10498309-10501452	GL_12h_control	HL_12h_treatment	OK	49.7002	59.3726	0.256545	0.885859	0.2065	0.388523	no
AT1G29970	AT1G29970	RPL18AA	1:10498309-10501452	GL_12h_control	HL_12h_treatment	OK	22.7137	24.3254	0.0989012	0.253068	0.7241	0.850878	no
AT1G29980	AT1G29980	AT1G29980	1:10503277-10506117	GL_12h_control	HL_12h_treatment	OK	17.2826	17.2218	-0.00508475	-0.0215736	0.97495	0.987401	no
AT1G29990	AT1G29990	PFD6	1:10507592-10509098	GL_12h_control	HL_12h_treatment	OK	49.522	51.3484	0.0522492	0.224619	0.7443	0.86342	no
AT1G30000	AT1G30000	MNS3	1:10509210-10512468	GL_12h_control	HL_12h_treatment	OK	13.5218	14.4004	0.0908144	0.394024	0.58115	0.748775	no
AT1G30010	AT1G30010	AT1G30010	1:10513193-10516385	GL_12h_control	HL_12h_treatment	OK	2.74086	2.72154	-0.010204	-0.0346862	0.9614	0.980973	no
AT1G30016	AT1G30016	AT1G30016	1:10521119-10521215	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G30020	AT1G30020	AT1G30020	1:10513193-10516385	GL_12h_control	HL_12h_treatment	OK	2.8106	3.66759	0.383952	0.457673	0.51005	0.69435	no
AT1G30030	AT1G30030	AT1G30030	1:10531830-10534842	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G30040	AT1G30040	GA2OX2	1:10537647-10539831	GL_12h_control	HL_12h_treatment	OK	3.5707	10.0783	1.49697	5.19389	5e-05	0.000354903	yes
AT1G30050	AT1G30050	AT1G30050	1:10543021-10544591	GL_12h_control	HL_12h_treatment	NOTEST	0.292878	0.127499	-1.19981	0	1	1	no
AT1G30060	AT1G30060	AT1G30060	1:10545086-10545906	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G30070	AT1G30070	AT1G30070	1:10546590-10548151	GL_12h_control	HL_12h_treatment	OK	15.7109	36.6565	1.2223	4.9995	5e-05	0.000354903	yes
AT1G30080	AT1G30080	AT1G30080	1:10550946-10553215	GL_12h_control	HL_12h_treatment	OK	3.77806	4.49008	0.249092	0.831411	0.2381	0.427684	no
AT1G30090	AT1G30090	AT1G30090	1:10559560-10561423	GL_12h_control	HL_12h_treatment	OK	13.9457	14.9104	0.0964989	0.404949	0.5684	0.739771	no
AT1G30100	AT1G30100	NCED5	1:10571339-10573365	GL_12h_control	HL_12h_treatment	NOTEST	0.155999	0.264456	0.76149	0	1	1	no
AT1G30110	AT1G30110	NUDT25	1:10581734-10584080	GL_12h_control	HL_12h_treatment	OK	17.7629	16.5392	-0.102975	-0.402228	0.57055	0.74154	no
AT1G30120	AT1G30120	PDH-E1 BETA	1:10584159-10586635	GL_12h_control	HL_12h_treatment	OK	100.173	105.389	0.0732227	0.323065	0.6389	0.791143	no
AT1G30130	AT1G30130	AT1G30130	1:10587601-10589760	GL_12h_control	HL_12h_treatment	OK	25.7034	27.9556	0.12118	0.518236	0.45665	0.649334	no
AT1G30135	AT1G30135	TIFY5A	1:10596491-10597239	GL_12h_control	HL_12h_treatment	OK	0.367916	1.96853	2.41967	2.40958	0.00915	0.0343619	yes
AT1G30140	AT1G30140	AT1G30140	1:10598626-10599696	GL_12h_control	HL_12h_treatment	NOTEST	0.171759	0.0738783	-1.21716	0	1	1	no
AT1G30150	AT1G30150	AT1G30150	1:10602177-10605159	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G30160	AT1G30160	AT1G30160	1:10606209-10607810	GL_12h_control	HL_12h_treatment	OK	0.374008	0.633917	0.761226	1.11136	0.10645	0.239665	no
AT1G30170	AT1G30170	AT1G30170	1:10607887-10609618	GL_12h_control	HL_12h_treatment	NOTEST	0.0162085	0.0315559	0.961162	0	1	1	no
AT1G30190	AT1G30190	AT1G30190	1:10618965-10619802	GL_12h_control	HL_12h_treatment	OK	0.29998	0.70316	1.22899	1.35015	0.06275	0.160949	no
AT1G30200	AT1G30200	AT1G30200	1:10625028-10627105	GL_12h_control	HL_12h_treatment	OK	21.121	12.8725	-0.71439	-3.05101	5e-05	0.000354903	yes
AT1G30210	AT1G30210	TCP24	1:10627184-10630610	GL_12h_control	HL_12h_treatment	OK	23.5761	17.9582	-0.392679	-1.71343	0.01395	0.0488103	yes
AT1G30220	AT1G30220	INT2	1:10632820-10635471	GL_12h_control	HL_12h_treatment	OK	0.188431	1.56638	3.05533	4.6273	5e-05	0.000354903	yes
AT1G30230	AT1G30230	AT1G30230	1:10638910-10640782	GL_12h_control	HL_12h_treatment	OK	365.831	421.482	0.204295	0.855027	0.22375	0.410767	no
AT1G30240	AT1G30240	AT1G30240	1:10641098-10645935	GL_12h_control	HL_12h_treatment	OK	5.41328	9.15992	0.758833	3.13015	5e-05	0.000354903	yes
AT1G30250	AT1G30250	AT1G30250	1:10646986-10647511	GL_12h_control	HL_12h_treatment	OK	0.886508	1.53133	0.788578	1.01814	0.15495	0.315383	no
AT1G30260	AT1G30260	AT1G30260	1:10651050-10651728	GL_12h_control	HL_12h_treatment	OK	5.96456	6.29849	0.078591	0.216795	0.75775	0.871849	no
AT1G30270	AT1G30270	CIPK23	1:10654856-10658897	GL_12h_control	HL_12h_treatment	OK	23.9737	17.5312	-0.451523	-1.99064	0.0053	0.0216856	yes
AT1G30280	AT1G30280	AT1G30280	1:10662662-10664763	GL_12h_control	HL_12h_treatment	OK	2.02584	0.999462	-1.0193	-2.13431	0.00335	0.0147325	yes
AT1G30282	AT1G30282	AT1G30282	1:10662662-10664763	GL_12h_control	HL_12h_treatment	OK	2.50977	1.39434	-0.847975	-1.8066	0.0123	0.0440005	yes
AT1G30290	AT1G30290	AT1G30290	1:10670319-10672740	GL_12h_control	HL_12h_treatment	OK	3.90878	3.77696	-0.0494932	-0.18213	0.79215	0.892995	no
AT1G30300	AT1G30300	AT1G30300	1:10672997-10675368	GL_12h_control	HL_12h_treatment	OK	6.93958	8.31637	0.261106	0.96787	0.16295	0.327311	no
AT1G30320	AT1G30320	AT1G30320	1:10680245-10682954	GL_12h_control	HL_12h_treatment	OK	9.17256	24.7958	1.4347	6.01593	5e-05	0.000354903	yes
AT1G30330	AT1G30330	ARF6	1:10685821-10690838	GL_12h_control	HL_12h_treatment	OK	19.7078	17.9795	-0.132412	-0.589319	0.39965	0.597674	no
AT1G30340	AT1G30340	AT1G30340	1:10696998-10701393	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G30350	AT1G30350	AT1G30350	1:10710078-10711664	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G30360	AT1G30360	ERD4	1:10715664-10718997	GL_12h_control	HL_12h_treatment	OK	120.148	111.665	-0.105638	-0.449236	0.51565	0.698798	no
AT1G30370	AT1G30370	AT1G30370	1:10719168-10720758	GL_12h_control	HL_12h_treatment	OK	0.287343	0.534329	0.894956	1.34236	0.06625	0.167555	no
AT1G30380	AT1G30380	PSAK	1:10722196-10723247	GL_12h_control	HL_12h_treatment	OK	1914.94	656.975	-1.54339	-5.79276	5e-05	0.000354903	yes
AT1G30390	AT1G30390	AT1G30390	1:10723453-10725016	GL_12h_control	HL_12h_treatment	NOTEST	0.0279979	0.0131039	-1.09532	0	1	1	no
AT1G30400	AT1G30400	ABCC1	1:10727637-10738055	GL_12h_control	HL_12h_treatment	OK	52.3233	66.252	0.340509	1.44851	0.03935	0.112174	no
AT1G30410	AT1G30410	ATMRP13	1:10738804-10747323	GL_12h_control	HL_12h_treatment	OK	9.36503	13.4482	0.522061	2.31128	0.0006	0.00333744	yes
AT1G30420	AT1G30420	ABCC11	1:10748815-10756316	GL_12h_control	HL_12h_treatment	OK	3.38977	4.06853	0.263321	1.07681	0.12635	0.271626	no
AT1G30430	AT1G30430	AT1G30430	1:10756721-10756794	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G30440	AT1G30440	AT1G30440	1:10759474-10762394	GL_12h_control	HL_12h_treatment	OK	32.9493	21.7957	-0.596207	-2.64131	0.00015	0.000973714	yes
AT1G30450	AT1G30450	CCC1	1:10762738-10769532	GL_12h_control	HL_12h_treatment	OK	14.297	12.9687	-0.140673	-0.621785	0.37145	0.571508	no
AT1G30460	AT1G30460	CPSF30	1:10770812-10775402	GL_12h_control	HL_12h_treatment	OK	8.15433	9.6419	0.241751	0.620585	0.3549	0.555474	no
AT1G30470	AT1G30470	AT1G30470	1:10779170-10786697	GL_12h_control	HL_12h_treatment	OK	23.6872	23.2057	-0.0296245	-0.131866	0.85255	0.9267	no
AT1G30473	AT1G30473	AT1G30473	1:10786978-10792575	GL_12h_control	HL_12h_treatment	NOTEST	0.0142311	0.0277061	0.961162	0	1	1	no
AT1G30475	AT1G30475	AT1G30475	1:10786978-10792575	GL_12h_control	HL_12h_treatment	OK	4.54496	8.73823	0.943072	1.69416	0.01875	0.0620046	no
AT1G30480	AT1G30480	DRT111	1:10786978-10792575	GL_12h_control	HL_12h_treatment	OK	9.97327	11.6021	0.218252	0.767869	0.26885	0.462727	no
AT1G30490	AT1G30490	ATHB-9	1:10796134-10800961	GL_12h_control	HL_12h_treatment	OK	14.3507	16.8243	0.22943	1.01259	0.14835	0.305495	no
AT1G30500	AT1G30500	NFYA7	1:10804449-10806319	GL_12h_control	HL_12h_treatment	OK	7.79883	17.9373	1.20163	4.40251	5e-05	0.000354903	yes
AT1G30510	AT1G30510	RFNR2	1:10806984-10809188	GL_12h_control	HL_12h_treatment	OK	126.182	108.871	-0.212876	-0.93505	0.18125	0.353439	no
AT1G30515	AT1G30515	AT1G30515	1:10809288-10809915	GL_12h_control	HL_12h_treatment	OK	1.8387	3.92055	1.09237	2.15695	0.00515	0.0212208	yes
AT1G30520	AT1G30520	AAE14	1:10810983-10813700	GL_12h_control	HL_12h_treatment	OK	19.3213	10.5363	-0.874824	-3.72091	5e-05	0.000354903	yes
AT1G30530	AT1G30530	UGT78D1	1:10814658-10816583	GL_12h_control	HL_12h_treatment	OK	87.1453	153.024	0.812262	3.5212	5e-05	0.000354903	yes
AT1G30540	AT1G30540	AT1G30540	1:10816773-10819362	GL_12h_control	HL_12h_treatment	OK	8.43064	9.11466	0.112545	0.433597	0.53245	0.711198	no
AT1G30550	AT1G30550	AT1G30550	1:10819553-10823659	GL_12h_control	HL_12h_treatment	OK	3.07393	1.95937	-0.649693	-1.64291	0.02045	0.0663648	no
AT1G30560	AT1G30560	AT1G30560	1:10824760-10826293	GL_12h_control	HL_12h_treatment	NOTEST	0.185338	0.153598	-0.270999	0	1	1	no
AT1G30570	AT1G30570	HERK2	1:10828932-10831482	GL_12h_control	HL_12h_treatment	OK	7.57294	4.81738	-0.652606	-2.61414	0.00025	0.00154211	yes
AT1G30580	AT1G30580	AT1G30580	1:10831672-10835538	GL_12h_control	HL_12h_treatment	OK	141.684	161.627	0.189995	0.827141	0.237	0.426169	no
AT1G30590	AT1G30590	AT1G30590	1:10835793-10840005	GL_12h_control	HL_12h_treatment	OK	17.0547	14.6839	-0.215937	-0.942946	0.17825	0.349389	no
AT1G30600	AT1G30600	AT1G30600	1:10841141-10845050	GL_12h_control	HL_12h_treatment	OK	9.24129	7.22921	-0.354256	-1.49326	0.0361	0.104863	no
AT1G30610	AT1G30610	EMB2279	1:10846512-10850628	GL_12h_control	HL_12h_treatment	OK	11.6463	10.7551	-0.114852	-0.500761	0.47425	0.663955	no
AT1G30620	AT1G30620	MUR4	1:10854548-10858244	GL_12h_control	HL_12h_treatment	OK	6.74227	12.0364	0.836101	3.38254	5e-05	0.000354903	yes
AT1G30630	AT1G30630	AT1G30630	1:10858297-10860261	GL_12h_control	HL_12h_treatment	OK	85.3568	96.4109	0.175689	0.784126	0.26195	0.45488	no
AT1G30640	AT1G30640	AT1G30640	1:10860654-10864700	GL_12h_control	HL_12h_treatment	OK	6.9871	7.44734	0.0920316	0.362898	0.60645	0.767572	no
AT1G30650	AT1G30650	WRKY14	1:10868302-10871297	GL_12h_control	HL_12h_treatment	OK	6.4097	4.0115	-0.676114	-2.48531	0.0006	0.00333744	yes
AT1G30660	AT1G30660	T5I8.11	1:10876852-10879017	GL_12h_control	HL_12h_treatment	OK	0.257753	0.722471	1.48695	1.8158	0.02385	0.0751707	no
AT1G30670	AT1G30670	BHLH52	1:10879172-10880188	GL_12h_control	HL_12h_treatment	NOTEST	0	0	0	0	1	1	no
AT1G30680	AT1G30680	T5I8.13	1:10881596-10886425	GL_12h_control	HL_12h_treatment	OK	17.2029	30.5845	0.830148	3.6743	5e-05	0.000354903	yes
AT1G30690	AT1G30690	PATL4	1:10887606-10890332	GL_12h_control	HL_12h_treatment	OK	59.2254	44.3101	-0.418579	-1.86438	0.00705	0.0277055	yes
AT1G30700	AT1G30700	AT1G30700	1:10892569-10894572	GL_12h_control	HL_12h_treatment	OK	20.2251	49.0693	1.27867	5.61198	5e-05	0.000354903	yes
AT1G30720	AT1G30720	AT1G30720	1:10898171-10899912	GL_12h_control	HL_12h_treatment	OK	5.26879	1.85628	-1.50506	-4.64703	5e-05	0.000354903	yes
AT1G30730	AT1G30730	AT1G30730	1:10900853-10902534	GL_12h_control	HL_12h_treatment	OK	2.34963	2.59392	0.142701	0.418456	0.5511	0.726259	no
AT1G30740	AT1G30740	AT1G30740	1:10903028-10904630	GL_12h_control	HL_12h_treatment	NOTEST	0.0406452	0.0797982	0.973271	0	1	1	no
AT1G30750	AT1G30750	AT1G30750	1:10904906-10905709	GL_12h_control	HL_12h_treatment	OK	11.3636	5.94318	-0.935116	-2.97633	0.00025	0.00154211	yes
